COUNTRY,cluster
ARG,0
AUS,0
BGD,1
BRA,3
CAN,0
CHL,0
CHN,3
COL,2
DZA,4
EGY,4
ETH,2
EUN,0
GHA,2
HTI,2
IDN,1
IND,3
IRN,4
ISR,2
JPN,3
KAZ,0
KOR,3
MEX,2
MOZ,2
MYS,3
NGA,2
NZL,3
PAK,0
PER,3
PHL,1
PRY,2
RUS,0
SAU,0
SDN,2
THA,1
TUR,4
TZA,2
UKR,0
URY,0
USA,0
VNM,1
ZAF,2
ZMB,2
