COUNTRY,cluster
ARG,2
AUS,2
BGD,4
BRA,3
CAN,2
CHL,2
CHN,3
COL,0
DZA,1
EGY,1
ETH,0
EUN,2
GHA,0
HTI,0
IDN,4
IND,3
IRN,1
ISR,0
JPN,3
KAZ,2
KOR,3
MEX,0
MOZ,0
MYS,3
NGA,0
NZL,2
PAK,2
PER,3
PHL,4
PRY,0
RUS,2
SAU,2
SDN,0
THA,4
TUR,1
TZA,0
UKR,2
URY,2
USA,2
VNM,4
ZAF,0
ZMB,0
