COUNTRY,cluster
ARG,1
AUS,1
BGD,2
BRA,4
CAN,1
CHL,1
CHN,4
COL,0
DZA,3
EGY,3
ETH,0
EUN,1
GHA,0
HTI,0
IDN,2
IND,4
IRN,3
ISR,0
JPN,4
KAZ,3
KOR,4
MEX,0
MOZ,0
MYS,4
NGA,0
NZL,1
PAK,1
PER,4
PHL,2
PRY,0
RUS,1
SAU,1
SDN,0
THA,2
TUR,3
TZA,0
UKR,1
URY,1
USA,1
VNM,2
ZAF,0
ZMB,0
