,poultry,maize,wheat,grains,beef,cheese,pig,sugar,soya,butter,oils,rice,sheep
HTI_1990_1993,0.75312030404,0.022759133212,0.031673927544,0.00941634703025,2.50911868267,5.68035085e-05,1.80830034319,0.0158712608978,1.230925e-08,1.13542685e-05,0.00706770754125,0.022317808265,0.48142214011
IDN_1990_1993,2.76087495324,25.0539751904,12.8134311495,3.38518109271e-06,1.28569154382,0.0203818660311,2.43922047392,4.83597304331e-07,2.92515988062,0.0436868106593,10.3083725816,149.68309522,0.46740640244
IND_1990_1993,0.504301568353,6.46989590474,53.3515889316,20.2947168937,1.61561325486,1.21230201437e-05,0.37622872937,1.00327295803e-07,0.248060126489,1.20972469084,4.07747865892,75.6456560053,0.602391225021
IRN_1990_1993,7.72410046686,0.348985904938,166.206743327,0.447998543087,3.79804322806,4.57851023883,1.2191136726e-06,1.56296626429e-06,0.115541451123,1.98529399955,8.22690315764,32.5903338759,5.97137426706
ISR_1990_1993,37.1952116396,0.004571282384,0.129439340681,0.0013834044035,10.7605882579,0.0165939141653,1.48527955389,1.904225e-08,1.904225e-08,0.0012230209455,0.0164192328597,0.0118228303685,1.16125998315
JPN_1990_1993,12.3648251722,19.2849042877,41.2139987577,2.47000983119,6.70018519002,1.27359206993,13.2014911558,21.5514252231,6.52857351611,0.725694959351,15.7844427646,70.4544773223,0.755893440452
KAZ_1990_1993,7.22873128704,5.48805800241e-06,141.784331834,28.8037544175,25.9456688289,1.55035739702,10.2123380982,5.48805806339e-06,0.313454685465,4.23467096942,4.91208791317,13.4531597108,12.9079813126
KOR_1990_1993,6.93319642145,2.07470389694,42.0554598044,9.88829162369,5.29554047058,0.214400600836,11.681336123,20.4581621752,8.57217135104,0.119194619418,9.61509726422,114.764037108,0.225214231358
MEX_1990_1993,9.62083891737,156.384521757,39.5006112807,5.42198237372,8.36444380695,2.19011989721,7.50587418987,40.5856077815,0.0,0.335274165909,15.3215082769,5.23052155474,0.584242683303
MOZ_1990_1993,1.80663910687,49.8291018096,9.82331700936,11.1511243852,0.737775914673,0.0097201672064,0.668657359124,6.42939775533e-06,6.42939775533e-06,0.064974234262,4.05920348335,7.78369879827,0.924962806544
MYS_1990_1993,23.7281039301,2.0928955712,36.2153689025,0.0601536642883,2.84855343835,0.0940955096524,10.2071538654,4.7517627877e-06,4.7517627877e-06,0.454315498064,8.1039828826,84.1926813036,0.416938662586
NGA_1990_1993,1.4766636106,46.5552971081,6.93458533353,82.9121508705,1.52021540409,0.0716771776573,0.86924320006,9.06518935435e-07,0.562217801126,0.0922577378903,7.89875197965,17.8446887717,1.52754198085
NZL_1990_1993,15.402604914,7.50705203319,6.76738496081,25.3834041863,24.7664753582,12.9712720309,11.023317452,54.903503556,5.17774991519e-05,9.30353642292,12.0982613049,4.80983256434,27.2450602397
PAK_1990_1993,1.48000468091,6.4222533672,131.373972365,2.18559763869,4.46445166226,0.00109839318777,6.26731465854e-07,8.03501888228e-07,0.00156465800944,3.10410402299,9.11497805381,17.874905997,4.22101399051
PER_1990_1993,11.4611581876,7.68826768061,47.1753721114,4.18385560591,3.65881246451,0.597144466744,2.45876417101,4.00064348337e-06,0.00196210137094,0.166548075008,4.64488031589,39.4363171576,1.19585510329
PHL_1990_1993,4.09614363246,19.648181776,26.4213392541,0.00602852638143,1.59917993871,0.154141394789,8.42483153886,1.40078049314e-06,0.0206674734865,0.144006412473,3.27279688028,95.2948851885,0.366178576783
PRY_1990_1993,4.33033279969,34.7707378581,44.3491755825,0.000144015571876,26.0672594375,0.0140550256355,21.9136284009,2.05736533537e-05,8.9523309866,2.05736533537e-05,13.786964342,12.8347960662,0.603493825004
RUS_1990_1993,8.76189990929,3.37038984233,107.009974017,45.6570275133,19.8686250196,2.20543335033,14.6720612551,23.6508967407,0.0,6.50337512213,7.01313303701,3.75088343078,2.10136549196
SAU_1990_1993,24.7523707421,0.295175450894,76.6272941305,4.00314310622,3.01371567911,2.19719493315,4.10135763878e-06,5.25815087738e-06,5.25815087738e-06,1.2169539432,5.27814180372,41.8113851699,6.23336261791
SDN_1990_1993,0.000842155244,0.00183911045825,0.0361673128573,0.0871856014238,0.008239640022,0.003414853968,3.33575e-09,3.33575e-09,3.33575e-09,0.0005161341495,0.00203824872925,0.000444229904,0.00515533386475
THA_1990_1993,11.282653841,0.87039197537,7.19957417403,0.363422988367,3.93201917708,0.0403750648328,5.51291878145,1.56670557307e-06,3.04082813175,0.210383602912,4.79732790019,135.198144528,0.0191276595048
TUR_1990_1993,6.86865203734,13.2784924705,205.0701549,4.78829670504,4.51741379555,2.57368472874,0.0462481526543,1.6263920204e-06,0.590013166042,2.3223244854,13.0540766582,6.43415454533,5.74526350551
