COUNTRY,cluster
ARG,0
AUS,0
BGD,3
BRA,4
CAN,0
CHL,0
CHN,4
COL,1
DZA,2
EGY,2
ETH,1
EUN,0
GHA,1
HTI,1
IDN,3
IND,4
IRN,2
ISR,1
JPN,4
KAZ,0
KOR,4
MEX,1
MOZ,1
MYS,4
NGA,1
NZL,0
PAK,0
PER,4
PHL,3
PRY,1
RUS,0
SAU,0
SDN,1
THA,4
TUR,2
TZA,1
UKR,0
URY,0
USA,0
VNM,3
ZAF,1
ZMB,1
