COUNTRY,cluster
ARG,1
AUS,1
BGD,0
BRA,1
CAN,1
CHL,1
CHN,0
COL,1
DZA,4
EGY,4
ETH,2
EUN,1
GHA,2
HTI,2
IDN,0
IND,0
IRN,4
ISR,2
JPN,0
KAZ,3
KOR,0
MEX,2
MOZ,2
MYS,0
NGA,2
NZL,1
PAK,3
PER,1
PHL,0
PRY,1
RUS,3
SAU,1
SDN,2
THA,0
TUR,4
TZA,2
UKR,3
URY,3
USA,1
VNM,0
ZAF,2
ZMB,2
