index,cluster
ARG,4.0
AUS,4.0
BGD,5.0
BRA,2.0
CAN,4.0
CHL,4.0
CHN,2.0
COL,2.0
DZA,1.0
EGY,1.0
ETH,0.0
EUN,4.0
GHA,0.0
HTI,0.0
IDN,5.0
IND,2.0
IRN,1.0
ISR,0.0
JPN,2.0
KAZ,3.0
KOR,2.0
MEX,2.0
MOZ,0.0
MYS,5.0
NGA,0.0
NZL,4.0
PAK,3.0
PER,2.0
PHL,5.0
PRY,2.0
RUS,4.0
SAU,4.0
SDN,0.0
THA,5.0
TUR,3.0
TZA,0.0
UKR,3.0
URY,3.0
USA,4.0
VNM,5.0
ZAF,2.0
ZMB,0.0
EU,
