COUNTRY,cluster
ARG,4
AUS,4
BGD,1
BRA,2
CAN,4
CHL,0
CHN,1
COL,2
DZA,0
EGY,0
ETH,2
EUN,4
GHA,2
HTI,2
IDN,1
IND,1
IRN,0
ISR,2
JPN,1
KAZ,3
KOR,1
MEX,5
MOZ,2
MYS,1
NGA,2
NZL,2
PAK,0
PER,2
PHL,1
PRY,2
RUS,4
SAU,2
SDN,2
THA,1
TUR,0
TZA,2
UKR,3
URY,3
USA,4
VNM,1
ZAF,5
ZMB,5
