index,cluster
ARG,1.0
AUS,1.0
BGD,2.0
BRA,3.0
CAN,1.0
CHL,1.0
CHN,3.0
COL,3.0
DZA,4.0
EGY,4.0
ETH,0.0
EUN,1.0
GHA,0.0
HTI,0.0
IDN,2.0
IND,3.0
IRN,4.0
ISR,0.0
JPN,3.0
KAZ,5.0
KOR,3.0
MEX,0.0
MOZ,0.0
MYS,2.0
NGA,0.0
NZL,1.0
PAK,5.0
PER,3.0
PHL,2.0
PRY,3.0
RUS,1.0
SAU,1.0
SDN,0.0
THA,2.0
TUR,5.0
TZA,0.0
UKR,5.0
URY,5.0
USA,1.0
VNM,2.0
ZAF,3.0
ZMB,0.0
EU,
