index,cluster
ARG,1.0
AUS,1.0
BGD,0.0
BRA,5.0
CAN,1.0
CHL,1.0
CHN,5.0
COL,5.0
DZA,2.0
EGY,2.0
ETH,5.0
EUN,1.0
GHA,4.0
HTI,4.0
IDN,0.0
IND,5.0
IRN,2.0
ISR,4.0
JPN,5.0
KAZ,3.0
KOR,5.0
MEX,5.0
MOZ,4.0
MYS,5.0
NGA,4.0
NZL,1.0
PAK,3.0
PER,5.0
PHL,0.0
PRY,5.0
RUS,1.0
SAU,5.0
SDN,4.0
THA,0.0
TUR,2.0
TZA,4.0
UKR,3.0
URY,3.0
USA,1.0
VNM,0.0
ZAF,5.0
ZMB,4.0
EU,
