COUNTRY,cluster
ARG,1
AUS,1
BGD,2
BRA,1
CAN,1
CHL,1
CHN,2
COL,4
DZA,5
EGY,5
ETH,4
EUN,1
GHA,4
HTI,0
IDN,2
IND,2
IRN,5
ISR,0
JPN,2
KAZ,3
KOR,2
MEX,4
MOZ,4
MYS,2
NGA,4
NZL,1
PAK,3
PER,4
PHL,2
PRY,4
RUS,3
SAU,1
SDN,0
THA,2
TUR,5
TZA,4
UKR,3
URY,3
USA,1
VNM,2
ZAF,4
ZMB,4
