index,cluster
ARG,2.0
AUS,2.0
BGD,1.0
BRA,2.0
CAN,2.0
CHL,2.0
CHN,1.0
COL,5.0
DZA,3.0
EGY,3.0
ETH,5.0
EUN,2.0
GHA,4.0
HTI,4.0
IDN,1.0
IND,1.0
IRN,3.0
ISR,4.0
JPN,1.0
KAZ,0.0
KOR,1.0
MEX,5.0
MOZ,4.0
MYS,1.0
NGA,4.0
NZL,2.0
PAK,0.0
PER,5.0
PHL,1.0
PRY,5.0
RUS,2.0
SAU,2.0
SDN,4.0
THA,1.0
TUR,3.0
TZA,4.0
UKR,0.0
URY,0.0
USA,2.0
VNM,1.0
ZAF,5.0
ZMB,4.0
EU,
