COUNTRY,cluster
ARG,1
AUS,1
BGD,0
BRA,5
CAN,1
CHL,1
CHN,5
COL,5
DZA,3
EGY,3
ETH,2
EUN,1
GHA,2
HTI,2
IDN,0
IND,5
IRN,3
ISR,2
JPN,5
KAZ,4
KOR,5
MEX,2
MOZ,2
MYS,5
NGA,2
NZL,1
PAK,4
PER,5
PHL,0
PRY,5
RUS,4
SAU,5
SDN,2
THA,0
TUR,3
TZA,2
UKR,4
URY,4
USA,1
VNM,0
ZAF,2
ZMB,2
